0,1,2,3,4,5,6,7,8,9
*,*,*, Bachelors,13,*,*,*,*, Male
*,*,*, Bachelors,13,*,*,*,*, Male
*,*,*, HS-grad,9,*,*,*, White, Male
*, Private,*,*,*, Married-civ-spouse,*, Husband,*, Male
*, Private,*,*,*,*,*,*, Black,*
*,*,*,*,*,*,*,*, White, Female
*, Private,*,*,*,*,*,*, Black,*
*,*,*, HS-grad,9,*,*,*, White, Male
*,*,*,*,*,*,*,*, White, Female
*,*,*, Bachelors,13,*,*,*,*, Male
*, Private,*,*,*,*,*,*, Black,*
*,*,*, Bachelors,13,*,*,*,*, Male
*,*,*,*,*,*,*,*, White, Female
*, Private,*,*,*,*,*,*, Black,*
*, Private,*,*,*, Married-civ-spouse,*, Husband,*, Male
*, Private,*,*,*, Married-civ-spouse,*, Husband,*, Male
*,*,*, HS-grad,9,*,*,*, White, Male
*,*,*, HS-grad,9,*,*,*, White, Male
*, Private,*,*,*, Married-civ-spouse,*, Husband,*, Male
*,*,*,*,*,*,*,*, White, Female
